complex_name,complex_slug,complex_logo_url,region_id,latitude,longitude,partner_name,partner_address,phone_mobile1,phone_mobile2,phone_short,email,website,facebook,instagram,partner_logo_url,initial_payment_pct,mortgage_rate_pct,mortgage_period_years,min_loan_amount,max_loan_amount
Park Academy,426-park-academy-,https://ipoteka.birbank.az/api/files/6639566e-965f-402e-a558-14758bcdf3ea.jpg,4,40.374657,49.816628,Avanqard - MM MMC,Hüseyn Cavid prospekti 26,0104141010,,,,,,,https://ipoteka.birbank.az/api/files/1e847ed8-3a4a-4b00-b11b-da4d90cfbeda.png,15.0,5.0,20,20000.0,500000.0
,,,,,,BAKI-MEXANİKLƏŞDİRMƏ-1 ASC,Bakı şəhəri Zabrat – Kürdəxanı şossesı.,0502742278,0502742278,,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,30000.0,500000.0
Bazis Real Estate,385-bazis-real-estate,https://ipoteka.birbank.az/api/files/dd560bf9-f53e-4f90-8cf8-aa01d95e4fe4.jpg,5,40.382675,49.880703,Bazis Real Estate MMC,"Bakı şəh., Ağ şəhər., Mərkəzi Bulvar küç",0557329992,0557329992,,,www.bazis.az,www.facebook.com/bazis.real.estate,www.instagram.com/bazis.real.estate,https://ipoteka.birbank.az/api/files/ee9426e1-996c-4aa9-bb3c-7c4ec137973d.png,15.0,16.5,20,20000.0,500000.0
Boulevard Residence,234-boulevard-residence,https://ipoteka.birbank.az/api/files/ed3310f8-c183-43fe-bf4a-3f93c3dd1766.png,1,40.33929,49.8325,Best Construction MTK,"Bakı şəhəri, Gülbala Əliyev küçəsi 9",0503154182,,0125056964,,,,,https://ipoteka.birbank.az/api/files/00b67cb8-a89d-4209-9fa3-e0fb604f2f8d.png,15.0,16.5,20,20000.0,500000.0
Best Home MMC,596-best-home-mmc-,https://ipoteka.birbank.az/api/files/8ff166e8-2214-4f19-8592-c579e9818b8d.jpg,102,40.376324,49.977814,Best Home MMC,"Bakı şəhəri, Nərimanov rayonu, Əliyar Əliyev küçəsi (Nərimanov filialı)",0703152222,0708468585,,,besthome.az,,,https://ipoteka.birbank.az/api/files/c9e0332c-4a14-484b-9942-0b91e2195868.jpg,15.0,16.5,20,20000.0,500000.0
Best Home MMC,915-best-home-mmc,https://ipoteka.birbank.az/api/files/ea368393-b36b-4be4-b3e8-67c27f34d767.jpg,5,40.374283,49.96187,Best Home MMC,"Bakı şəhəri, Nərimanov rayonu, Əliyar Əliyev küçəsi (Nərimanov filialı)",0703152222,0708468585,,,besthome.az,,,https://ipoteka.birbank.az/api/files/c9e0332c-4a14-484b-9942-0b91e2195868.jpg,15.0,16.5,20,20000.0,500000.0
Daşınmaz Əmlak Agentliyi,421-dasinmaz-əmlak-agentliyi,https://ipoteka.birbank.az/api/files/00d27f10-07da-43e8-b23d-1c8e31fa09ec.jpg,21,40.40322,49.878384,Best Home MMC,"Bakı şəhəri, Nərimanov rayonu, Əliyar Əliyev küçəsi (Nərimanov filialı)",0703152222,0708468585,,,besthome.az,,,https://ipoteka.birbank.az/api/files/c9e0332c-4a14-484b-9942-0b91e2195868.jpg,15.0,16.5,20,20000.0,500000.0
CASPRO DAŞINMAZ ƏMLAK AGENTLIYI,591-caspro-daşinmaz-əmlak-agentliyi,https://ipoteka.birbank.az/api/files/ad860cde-a56e-436f-b5c1-1835c30c0f97.jpeg,5,40.37838,49.874447,CASPRO DAŞINMAZ ƏMLAK AGENTLIYI,"Bakı, Xətai rayonu,1212-ci məhəllə, 8 Noyabr pr. 15. Azure Biznes Mərkəzi 22-ci mərtəbə,ofis 157. AZ1025",0554886600,,0124886601,,www.caspro.az,https://www.facebook.com/caspro.az/,https://www.instagram.com/caspro.az/,https://ipoteka.birbank.az/api/files/526773f5-8974-477c-bd41-101ef0d4e355.jpeg,30.0,16.5,20,30000.0,500000.0
Turkuaz Yaşayış Kompleksi,831-turkuaz-yasayis-kompleksi,https://ipoteka.birbank.az/api/files/ff30ca99-972d-4abd-854c-2a7a5a6ce5b3.jpg,5,40.37245,49.96257,Cavadxan RB,"Bakı şəh., Xətai ray. Nəsrəddin Tusi küç.293 (Əhmədli Metrosunun yaxınlığı)",0502421122,,,,,,https://www.instagram.com/turkuaz.ahmadli/,https://ipoteka.birbank.az/api/files/b0a298ba-58ed-4c44-8b22-30d37bfd7e37.png,30.0,16.5,20,20000.0,500000.0
,,,,,,City Life MMC,"Yasamal rayonu, Cəfər Cabbarlı küçəsi",0509700088,,,,,,,https://ipoteka.birbank.az/api/files/4b41610d-803c-40af-85d2-1469a6526474.png,20.0,16.5,20,20000.0,500000.0
Cənub MTK Xalqlar,227-cenub-mtk-xalqlar,https://ipoteka.birbank.az/api/files/1eaa7f00-8593-4196-940c-d761534b1a18.jpg,2,40.401962,49.95497,Cənub MTK,"Bakı şəh., Nizami ray., Bəhruz Nuriyev küç., 32",0506070990,,,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,16.5,20,20000.0,500000.0
Delfin MTK,078-delfin-mtk,https://ipoteka.birbank.az/api/files/bd16ddc9-8796-4e39-b7bd-7466f38dc782.jpeg,102,40.386486,49.97525,Delfin MTK,"Bakı şəh., Suraxanı ray., Yeni Günəşli qəs., AB Y/S 117 E",0505518115,,,,,,,https://ipoteka.birbank.az/api/files/29a4a526-d743-496f-9136-8b69f2c138ff.jpeg,30.0,16.5,20,20000.0,500000.0
Draft Construction,317-draft-construction,https://ipoteka.birbank.az/api/files/0dbb7154-9d1a-4552-9f58-7edfe0f1ae0f.png,3,40.3816,49.846245,Draft Construction MMC,"Bakı ş, Azadlıq prosp. 55",0774112211,,,,draft.az,,,https://ipoteka.birbank.az/api/files/76d58596-be6e-48ad-acb3-14a69ddf2a0f.png,30.0,16.5,20,20000.0,500000.0
Elit Park,959-elit-park,https://ipoteka.birbank.az/api/files/temp,6,40.424713,49.855457,Dərnəgül MTK,"Bakı şəh., Yasamal ray., Kamal Rəhimov., ev 15., m 76",0514230505,,0125620330,,www.elitpark.az,www.facebook.com/elitpark.az,www.instagram.com/elitpark_/,https://ipoteka.birbank.az/api/files/06febffc-4ce8-4dc9-a418-6e800817ab37.png,30.0,5.0,20,20000.0,500000.0
Effektparkcom,221-effektparkcom,https://ipoteka.birbank.az/api/files/temp,21,40.39405,49.861103,Effekt İnşaat MTK,"Bakı şəh., Nərimanov rayonu",0555501555,0555501555,,,www.effektpark.com,www.facebook.com/effektpark.az,www.instagram.com/effektparkcom,https://ipoteka.birbank.az/api/files/temp,20.0,16.5,20,30000.0,500000.0
